DISTRITO;MAT_CRECHE;MAT_PRE_ESCOLA;MAT_FUND_I;MAT_FUND_II;MAT_EJA_I;MAT_EJA_II;MAT_ENS_MED;MAT_ED_PROF;MAT_PROC_CRECHE;MAT_PROC_PRE_ESC;DEM_CRECHE;DEM_PRE;DEM_FUND_I;DEM_FUND_II;DEM_EJA_I;DEM_EJA_II;DEM_PREF_CRECHE;DEM_PREF_PRE;MES_ANO_REF
AGUA RASA;573;1929;1344;1376;219;137;0;0;;;505;153;0;0;0;0;;;jun-06
ALTO DE PINHEIROS;236;198;0;0;0;0;0;0;;;64;2;0;0;0;0;;;jun-06
ANHANGUERA;207;1947;2943;2673;187;856;0;0;;;138;274;0;0;0;0;;;jun-06
ARICANDUVA;435;1675;2429;2377;187;670;0;0;;;523;130;0;0;0;0;;;jun-06
ARTUR ALVIM;901;4595;3216;2784;201;837;0;0;;;670;155;0;0;0;0;;;jun-06
BARRA FUNDA;220;335;0;0;0;0;0;0;;;196;27;0;0;0;0;;;jun-06
BELA VISTA;493;1118;516;519;0;632;0;0;;;738;154;0;0;0;0;;;jun-06
BELEM;154;1619;462;0;0;0;0;0;;;285;116;0;0;0;0;;;jun-06
BOM RETIRO;452;1643;0;0;0;0;0;0;;;640;536;0;0;0;0;;;jun-06
BRAS;199;600;0;0;0;0;0;0;;;253;122;0;0;0;0;;;jun-06
BRASILANDIA;2121;9069;8966;7005;935;3401;0;0;;;2392;1387;0;0;0;0;;;jun-06
BUTANTA;231;1636;1635;1515;411;1132;0;0;;;479;121;0;0;0;0;;;jun-06
CACHOEIRINHA;909;4602;4471;3576;576;1307;0;0;;;1167;297;0;0;0;0;;;jun-06
CAMBUCI;131;786;0;0;316;405;0;0;;;234;267;0;0;0;0;;;jun-06
CAMPO BELO;336;782;1492;1350;210;700;0;0;;;529;96;0;0;0;0;;;jun-06
CAMPO GRANDE;218;2310;3486;3305;468;1198;0;0;;;431;342;0;0;0;0;;;jun-06
CAMPO LIMPO;1286;9673;9669;8696;1193;4243;0;0;;;3051;2782;0;0;0;0;;;jun-06
CANGAIBA;750;4618;2843;2486;221;758;0;0;;;1225;539;0;0;0;0;;;jun-06
CAPAO REDONDO;902;7652;11599;9209;1220;5168;0;0;;;2345;2442;0;0;0;0;;;jun-06
CARRAO;506;1745;1068;1028;0;135;0;0;;;470;92;0;0;0;0;;;jun-06
CASA VERDE;403;2451;1145;1169;143;645;0;0;;;667;259;0;0;0;0;;;jun-06
CIDADE ADEMAR;981;6134;4935;4132;749;1768;0;0;;;3214;2112;0;0;0;0;;;jun-06
CIDADE DUTRA;2421;6612;6624;6381;433;2600;0;0;;;1934;1232;0;0;0;0;;;jun-06
CIDADE LIDER;822;5232;3801;3631;476;2286;0;0;;;1356;593;0;0;0;0;;;jun-06
CIDADE TIRADENTES;1676;11776;13221;12656;735;3511;557;25;;;1559;1100;0;0;0;0;;;jun-06
CONSOLACAO;135;961;0;0;0;0;0;0;;;122;57;0;0;0;0;;;jun-06
CURSINO;252;2021;998;982;0;145;0;0;;;571;183;0;0;0;0;;;jun-06
ERMELINO MATARAZZO;422;3698;1849;1923;323;1492;0;0;;;901;634;0;0;0;0;;;jun-06
FREGUESIA DO O;673;5015;3784;2954;339;1465;0;0;;;599;916;0;0;0;0;;;jun-06
GRAJAU;2555;10137;9224;8165;1235;3945;0;0;;;3914;3829;0;0;0;0;;;jun-06
GUAIANASES;750;4742;2073;2442;551;1924;0;0;;;509;429;0;0;0;0;;;jun-06
IGUATEMI;704;5853;7010;6067;768;1919;0;0;;;1296;978;0;0;0;0;;;jun-06
IPIRANGA;728;3066;1017;894;215;374;0;0;;;605;112;0;0;0;0;;;jun-06
ITAIM BIBI;95;777;851;746;0;417;0;0;;;124;80;0;0;0;0;;;jun-06
ITAIM PAULISTA;1284;7565;5849;6567;611;2914;0;0;;;1963;1549;0;0;0;0;;;jun-06
ITAQUERA;843;5851;3620;4044;508;1808;0;0;;;1120;443;0;0;0;0;;;jun-06
JABAQUARA;1004;6191;3480;2990;309;1237;0;0;;;2279;1245;0;0;0;0;;;jun-06
JACANA;600;3398;1725;1587;31;722;0;0;;;830;643;0;0;0;0;;;jun-06
JAGUARA;324;846;884;896;185;393;0;0;;;330;36;0;0;0;0;;;jun-06
JAGUARE;230;645;411;406;203;274;0;0;;;448;162;0;0;0;0;;;jun-06
JARAGUA;2008;7580;11255;9744;967;3574;441;0;;;1609;1038;0;0;0;0;;;jun-06
JARDIM ANGELA;1683;9341;7984;6473;759;2893;0;0;;;3539;3851;0;0;0;0;;;jun-06
JARDIM HELENA;792;4685;5854;6254;347;1735;0;0;;;851;215;0;0;0;0;;;jun-06
JARDIM PAULISTA;24;693;0;0;0;0;0;0;;;3;2;0;0;0;0;;;jun-06
JARDIM SAO LUIS;1847;9605;7751;6352;886;2441;0;0;;;3674;1580;0;0;0;0;;;jun-06
JOSE BONIFACIO;473;4822;2902;2689;84;992;0;0;;;789;240;0;0;0;0;;;jun-06
LAJEADO;947;5784;3824;4302;428;1802;0;0;;;1611;1519;0;0;0;0;;;jun-06
LAPA;185;2592;0;0;0;0;0;0;;;132;118;0;0;0;0;;;jun-06
LIBERDADE;391;485;459;420;123;232;0;0;;;330;49;0;0;0;0;;;jun-06
LIMAO;336;1412;805;800;21;453;0;0;;;305;106;0;0;0;0;;;jun-06
MANDAQUI;440;3338;2763;2429;331;695;0;0;;;755;162;0;0;0;0;;;jun-06
MARSILAC;63;64;0;0;0;0;0;0;;;1;0;0;0;0;0;;;jun-06
MOEMA;146;963;406;229;40;82;0;0;;;113;50;0;0;0;0;;;jun-06
MOOCA;551;1714;455;422;83;145;0;0;;;444;137;0;0;0;0;;;jun-06
MORUMBI;209;886;901;538;85;186;0;0;;;402;105;0;0;0;0;;;jun-06
PARELHEIROS;980;4435;3573;1624;183;1066;0;0;;;775;949;0;0;0;0;;;jun-06
PARI;54;570;403;367;0;0;0;0;;;178;41;0;0;0;0;;;jun-06
PARQUE DO CARMO;590;2131;734;839;107;176;0;0;;;526;310;0;0;0;0;;;jun-06
PEDREIRA;493;3722;5544;4712;662;1779;0;0;;;1184;1087;0;0;0;0;;;jun-06
PENHA;447;1926;0;0;0;0;0;0;;;623;201;0;0;0;0;;;jun-06
PERDIZES;286;933;342;297;70;148;0;0;;;200;42;0;0;0;0;;;jun-06
PERUS;484;3501;4611;4113;272;1372;0;0;;;911;869;0;0;0;0;;;jun-06
PINHEIROS;251;759;351;368;135;189;0;0;;;230;26;0;0;0;0;;;jun-06
PIRITUBA;932;5030;3952;3953;500;1394;305;0;;;955;913;0;0;0;0;;;jun-06
PONTE RASA;461;2691;3155;3233;45;1048;0;0;;;605;229;0;0;0;0;;;jun-06
RAPOSO TAVARES;927;4470;4731;3710;521;1254;0;0;;;1089;133;0;0;0;0;;;jun-06
REPUBLICA;135;1036;0;0;0;0;0;0;;;301;55;0;0;0;0;;;jun-06
RIO PEQUENO;1226;4117;4360;3256;398;916;0;0;;;1140;254;0;0;0;0;;;jun-06
SACOMA;1380;7145;5821;5104;820;2428;0;0;;;2203;411;0;0;0;0;;;jun-06
SANTA CECILIA;357;1081;0;0;0;0;0;0;;;571;202;0;0;0;0;;;jun-06
SANTANA;310;2051;1711;1908;24;491;1191;675;;;425;95;0;0;0;0;;;jun-06
SANTO AMARO;136;627;1119;1741;20;856;106;0;;;352;114;0;0;0;0;;;jun-06
SAO DOMINGOS;479;2300;3382;3024;291;781;0;0;;;471;275;0;0;0;0;;;jun-06
SAO LUCAS;366;3262;3934;3912;261;1060;0;0;;;438;351;0;0;0;0;;;jun-06
SAO MATEUS;989;6133;4004;3598;576;1937;0;0;;;1562;355;0;0;0;0;;;jun-06
SAO MIGUEL;621;3259;4815;4439;174;1497;195;0;;;560;241;0;0;0;0;;;jun-06
SAO RAFAEL;1414;7795;5350;3913;528;1848;0;0;;;2420;828;0;0;0;0;;;jun-06
SAPOPEMBA;2133;11371;11638;10796;1324;3881;459;0;;;2781;852;0;0;0;0;;;jun-06
SAUDE;189;669;265;345;0;205;0;0;;;238;59;0;0;0;0;;;jun-06
SE;49;19;593;443;131;306;0;0;;;141;66;0;0;0;0;;;jun-06
SOCORRO;327;1613;1669;1640;201;552;0;0;;;160;122;0;0;0;0;;;jun-06
TATUAPE;73;1926;1271;1334;111;492;0;0;;;162;51;0;0;0;0;;;jun-06
TREMEMBE;616;5255;4305;4029;557;1418;0;0;;;1175;692;0;0;0;0;;;jun-06
TUCURUVI;291;1217;1512;1449;151;864;0;0;;;212;102;0;0;0;0;;;jun-06
VILA ANDRADE;119;328;2144;991;462;434;0;0;;;348;294;0;0;0;0;;;jun-06
VILA CURUCA;1136;6797;7024;6885;295;2076;0;0;;;1134;714;0;0;0;0;;;jun-06
VILA FORMOSA;258;2008;491;538;0;209;0;0;;;305;142;0;0;0;0;;;jun-06
VILA GUILHERME;176;1670;1350;1116;107;323;0;0;;;177;44;0;0;0;0;;;jun-06
VILA JACUI;1109;6270;4927;4806;305;1942;0;0;;;585;379;0;0;0;0;;;jun-06
VILA LEOPOLDINA;214;959;850;796;73;161;0;0;;;145;27;0;0;0;0;;;jun-06
VILA MARIA;881;4980;3866;2987;321;592;0;0;;;959;144;0;0;0;0;;;jun-06
VILA MARIANA;259;1740;240;295;43;270;0;0;;;335;101;0;0;0;0;;;jun-06
VILA MATILDE;277;1600;2865;2894;131;306;0;0;;;404;59;0;0;0;0;;;jun-06
VILA MEDEIROS;727;3792;3534;3057;754;1427;0;0;;;802;195;0;0;0;0;;;jun-06
VILA PRUDENTE;774;2513;1475;1341;195;597;0;0;;;686;205;0;0;0;0;;;jun-06
VILA SONIA;546;2463;2417;2119;252;776;0;0;;;706;479;0;0;0;0;;;jun-06
AGUA RASA;626;1971;1373;1360;107;174;0;0;;;583;160;0;0;0;0;;;set-06
ALTO DE PINHEIROS;244;196;0;0;0;0;0;0;;;105;2;0;0;0;0;;;set-06
ANHANGUERA;235;1990;2966;2656;157;836;0;0;;;259;359;0;0;0;0;;;set-06
ARICANDUVA;433;1696;2393;2292;163;781;0;0;;;559;152;0;0;0;0;;;set-06
ARTUR ALVIM;915;4576;3200;2737;143;626;0;0;;;893;164;0;0;0;0;;;set-06
BARRA FUNDA;239;340;0;0;0;0;0;0;;;258;32;0;0;0;0;;;set-06
BELA VISTA;551;1107;526;511;0;441;0;0;;;818;157;0;0;0;0;;;set-06
BELEM;205;1614;464;0;0;0;0;0;;;415;154;0;0;0;0;;;set-06
BOM RETIRO;452;1620;0;0;0;0;0;0;;;753;530;0;0;0;0;;;set-06
BRAS;311;771;0;0;0;0;0;0;;;486;187;0;0;0;0;;;set-06
BRASILANDIA;2351;9087;9812;7378;1064;3388;0;0;;;3607;1659;0;0;0;0;;;set-06
BUTANTA;233;1635;1624;1515;632;1529;0;0;;;560;113;0;0;0;0;;;set-06
CACHOEIRINHA;814;4554;3442;2985;368;1019;0;0;;;1310;348;0;0;0;0;;;set-06
CAMBUCI;134;809;0;0;235;320;0;0;;;268;263;0;0;0;0;;;set-06
CAMPO BELO;399;833;1490;1352;201;736;0;0;;;677;71;0;0;0;0;;;set-06
CAMPO GRANDE;242;2317;3469;3274;498;1263;0;0;;;512;431;0;0;0;0;;;set-06
CAMPO LIMPO;1263;9518;8906;8357;1023;3427;0;0;;;4294;2938;0;0;0;0;;;set-06
CANGAIBA;779;4659;2812;2402;207;814;0;0;;;1503;570;0;0;0;0;;;set-06
CAPAO REDONDO;966;7415;10989;8587;2011;5444;0;0;;;3324;2842;0;0;0;0;;;set-06
CARRAO;548;1833;1075;1017;0;117;0;0;;;540;87;0;0;0;0;;;set-06
CASA VERDE;389;2436;1138;1150;110;611;0;0;;;827;261;0;0;0;0;;;set-06
CIDADE ADEMAR;1054;6104;4903;4031;700;1849;0;0;;;3930;2428;0;0;0;0;;;set-06
CIDADE DUTRA;2820;6594;7324;7023;384;2629;0;0;;;2755;1344;0;0;0;0;;;set-06
CIDADE LIDER;840;5191;3263;3062;477;1898;0;0;;;1637;596;0;0;0;0;;;set-06
CIDADE TIRADENTES;1708;11730;13135;12523;578;3034;444;0;;;2124;1354;0;0;0;0;;;set-06
CONSOLACAO;268;1047;0;0;0;0;0;0;;;513;61;0;0;0;0;;;set-06
CURSINO;252;2004;987;972;0;168;0;0;;;772;292;0;0;0;0;;;set-06
ERMELINO MATARAZZO;479;3703;1860;1915;277;1395;0;0;;;1157;837;0;0;0;0;;;set-06
FREGUESIA DO O;697;5033;3727;2868;297;1316;0;0;;;958;1095;0;0;0;0;;;set-06
GRAJAU;2555;10540;8496;7318;986;3377;0;0;;;4871;3960;0;0;0;0;;;set-06
GUAIANASES;865;4790;2056;2526;524;1591;0;0;;;653;554;0;0;0;0;;;set-06
IGUATEMI;783;5879;7037;6015;579;1738;0;0;;;2155;1435;0;0;0;0;;;set-06
IPIRANGA;765;3133;1002;854;207;415;0;0;;;1156;213;0;0;0;0;;;set-06
ITAIM BIBI;135;857;831;735;0;359;0;0;;;165;82;0;0;0;0;;;set-06
ITAIM PAULISTA;1303;7716;6023;6614;467;2585;0;0;;;2396;2118;0;0;0;0;;;set-06
ITAQUERA;874;6182;3567;3951;349;1565;0;0;;;1454;588;0;0;0;0;;;set-06
JABAQUARA;1051;5939;3460;2961;349;1329;0;0;;;2784;1324;0;0;0;0;;;set-06
JACANA;608;3374;2528;2163;122;645;0;0;;;1055;675;0;0;0;0;;;set-06
JAGUARA;331;1261;868;874;178;375;0;0;;;430;74;0;0;0;0;;;set-06
JAGUARE;239;666;412;403;184;218;0;0;;;522;162;0;0;0;0;;;set-06
JARAGUA;2094;7583;10386;8807;733;2820;430;0;;;2478;1509;0;0;0;0;;;set-06
JARDIM ANGELA;1652;9191;8205;6464;657;2400;0;0;;;4249;4726;0;0;0;0;;;set-06
JARDIM HELENA;871;4739;5839;6192;348;1724;0;0;;;1216;452;0;0;0;0;;;set-06
JARDIM PAULISTA;17;692;0;0;0;0;0;0;;;11;2;0;0;0;0;;;set-06
JARDIM SAO LUIS;1983;9821;8385;6812;733;2592;0;0;;;4671;1864;0;0;0;0;;;set-06
JOSE BONIFACIO;545;4865;2911;2676;46;828;0;0;;;934;239;0;0;0;0;;;set-06
LAJEADO;1030;5826;3823;4480;451;1811;0;0;;;2055;1955;0;0;0;0;;;set-06
LAPA;185;2573;0;0;0;0;0;0;;;249;99;0;0;0;0;;;set-06
LIBERDADE;411;490;349;301;61;116;0;0;;;450;62;0;0;0;0;;;set-06
LIMAO;342;1425;788;766;27;409;0;0;;;462;137;0;0;0;0;;;set-06
MANDAQUI;482;3362;2719;2362;213;439;0;0;;;1035;199;0;0;0;0;;;set-06
MARSILAC;71;57;0;0;0;0;0;0;;;0;0;0;0;0;0;;;set-06
MOEMA;149;1316;390;212;28;54;0;0;;;177;79;0;0;0;0;;;set-06
MOOCA;396;1502;335;291;35;161;0;0;;;318;65;0;0;0;0;;;set-06
MORUMBI;208;887;899;546;51;100;0;0;;;489;104;0;0;0;0;;;set-06
PARELHEIROS;1031;4471;3551;1606;168;977;0;0;;;1227;1030;0;0;0;0;;;set-06
PARI;64;582;401;359;0;0;0;0;;;198;40;0;0;0;0;;;set-06
PARQUE DO CARMO;591;2504;1193;1273;52;589;0;0;;;842;275;0;0;0;0;;;set-06
PEDREIRA;492;3767;5562;4639;571;1935;0;0;;;1421;1245;0;0;0;0;;;set-06
PENHA;464;1938;0;0;0;0;0;0;;;769;239;0;0;0;0;;;set-06
PERDIZES;293;927;341;292;60;137;0;0;;;303;52;0;0;0;0;;;set-06
PERUS;490;3619;4577;4063;273;1310;0;0;;;1214;1034;0;0;0;0;;;set-06
PINHEIROS;274;769;346;361;123;144;0;0;;;314;14;0;0;0;0;;;set-06
PIRITUBA;893;4516;4626;4586;543;1485;328;0;;;1410;1190;0;0;0;0;;;set-06
PONTE RASA;470;2666;3138;3165;25;981;0;0;;;698;246;0;0;0;0;;;set-06
RAPOSO TAVARES;934;4526;4683;3623;403;1133;0;0;;;1401;124;0;0;0;0;;;set-06
REPUBLICA;9;974;0;0;0;0;0;0;;;0;40;0;0;0;0;;;set-06
RIO PEQUENO;1250;4118;4325;3221;370;966;0;0;;;1497;279;0;0;0;0;;;set-06
SACOMA;1369;7266;5784;5024;954;2542;0;0;;;2587;524;0;0;0;0;;;set-06
SANTA CECILIA;366;1109;0;0;0;0;0;0;;;782;221;0;0;0;0;;;set-06
SANTANA;312;2053;1690;1856;0;400;1102;699;;;539;89;0;0;0;0;;;set-06
SANTO AMARO;141;611;1020;1557;0;992;107;0;;;429;124;0;0;0;0;;;set-06
SAO DOMINGOS;477;2278;3363;2972;245;681;0;0;;;684;339;0;0;0;0;;;set-06
SAO LUCAS;371;3250;3880;3851;193;1010;0;0;;;563;369;0;0;0;0;;;set-06
SAO MATEUS;978;6063;4532;4053;585;1856;0;0;;;2008;501;0;0;0;0;;;set-06
SAO MIGUEL;659;3405;4756;4337;135;1368;200;0;;;816;495;0;0;0;0;;;set-06
SAO RAFAEL;1339;7590;5392;3925;452;1813;0;0;;;2900;1015;0;0;0;0;;;set-06
SAPOPEMBA;2153;11289;11118;10061;1202;3909;441;0;;;3760;1058;0;0;0;0;;;set-06
SAUDE;189;1060;263;336;0;271;0;0;;;362;59;0;0;0;0;;;set-06
SE;55;125;597;445;127;298;0;0;;;166;33;0;0;0;0;;;set-06
SOCORRO;345;1589;1635;1621;155;504;0;0;;;291;137;0;0;0;0;;;set-06
TATUAPE;72;1891;1282;1332;89;415;0;0;;;209;73;0;0;0;0;;;set-06
TREMEMBE;620;5238;4273;3986;364;1173;0;0;;;1467;1059;0;0;0;0;;;set-06
TUCURUVI;299;1218;1539;1460;125;650;0;0;;;319;115;0;0;0;0;;;set-06
VILA ANDRADE;163;383;2891;1322;472;502;0;0;;;841;415;0;0;0;0;;;set-06
VILA CURUCA;1090;6830;7050;6859;213;1762;0;0;;;1465;1035;0;0;0;0;;;set-06
VILA FORMOSA;253;1984;495;521;0;203;0;0;;;519;133;0;0;0;0;;;set-06
VILA GUILHERME;226;1698;1336;1094;87;292;0;0;;;250;53;0;0;0;0;;;set-06
VILA JACUI;1055;6077;4903;4756;335;1736;0;0;;;1099;688;0;0;0;0;;;set-06
VILA LEOPOLDINA;218;956;836;767;59;150;0;0;;;189;19;0;0;0;0;;;set-06
VILA MARIA;928;4982;3950;2984;212;828;0;0;;;1248;166;0;0;0;0;;;set-06
VILA MARIANA;287;1430;250;281;21;218;0;0;;;434;74;0;0;0;0;;;set-06
VILA MATILDE;294;1590;2838;2855;104;502;0;0;;;506;69;0;0;0;0;;;set-06
VILA MEDEIROS;746;3757;2630;2255;476;1370;0;0;;;1066;261;0;0;0;0;;;set-06
VILA PRUDENTE;841;2509;1433;1309;214;487;0;0;;;861;224;0;0;0;0;;;set-06
VILA SONIA;535;2612;2413;2092;220;740;0;0;;;1088;506;0;0;0;0;;;set-06
AGUA RASA;634;1950;1323;1354;100;101;0;0;;;683;199;0;0;0;0;;;dez-06
ALTO DE PINHEIROS;248;198;0;0;0;0;0;0;;;170;3;0;0;0;0;;;dez-06
ANHANGUERA;247;1974;2944;2549;113;671;0;0;;;424;318;0;0;0;0;;;dez-06
ARICANDUVA;460;1716;2354;2082;157;683;0;0;;;717;278;0;0;0;0;;;dez-06
ARTUR ALVIM;854;4405;3162;2684;125;511;0;0;;;1368;329;0;0;0;0;;;dez-06
BARRA FUNDA;259;347;0;0;0;0;0;0;;;266;50;0;0;0;0;;;dez-06
BELA VISTA;605;1226;526;497;0;430;0;0;;;808;22;0;0;0;0;;;dez-06
BELEM;201;1540;397;0;0;0;0;0;;;532;227;0;0;0;0;;;dez-06
BOM RETIRO;472;1602;0;0;0;0;0;0;;;711;497;0;0;0;0;;;dez-06
BRAS;307;690;0;0;0;0;0;0;;;617;264;0;0;0;0;;;dez-06
BRASILANDIA;1777;8647;9635;7156;950;3102;0;0;;;3361;1311;0;0;0;0;;;dez-06
BUTANTA;241;1617;1595;1485;575;1454;0;0;;;660;203;0;0;0;0;;;dez-06
CACHOEIRINHA;738;4343;3396;2921;328;972;0;0;;;1228;258;0;0;0;0;;;dez-06
CAMBUCI;132;809;0;0;166;256;0;0;;;287;158;0;0;0;0;;;dez-06
CAMPO BELO;416;847;1395;1286;203;697;0;0;;;630;86;0;0;0;0;;;dez-06
CAMPO GRANDE;296;2408;3398;3223;438;1162;0;0;;;543;597;0;0;0;0;;;dez-06
CAMPO LIMPO;1258;9458;8768;8098;969;3141;0;0;;;5254;3893;0;0;0;0;;;dez-06
CANGAIBA;768;4648;2711;2324;143;622;0;0;;;2103;1075;0;0;0;0;;;dez-06
CAPAO REDONDO;963;7309;10692;8380;1820;4704;0;0;;;4117;3684;0;0;0;0;;;dez-06
CARRAO;542;1852;1065;995;0;69;0;0;;;817;134;0;0;0;0;;;dez-06
CASA VERDE;395;2401;1113;1132;86;519;0;0;;;736;174;0;0;0;0;;;dez-06
CIDADE ADEMAR;1093;6281;4751;3904;642;1764;0;0;;;4183;3097;0;0;0;0;;;dez-06
CIDADE DUTRA;2971;6659;7201;6807;326;2233;0;0;;;2045;476;0;0;0;0;;;dez-06
CIDADE LIDER;911;5065;3188;2994;391;1414;0;0;;;1821;644;0;0;0;0;;;dez-06
CIDADE TIRADENTES;1839;11669;12914;12183;516;2759;403;0;;;3309;1701;0;0;0;0;;;dez-06
CONSOLACAO;272;1036;0;0;0;0;0;0;;;382;27;0;0;0;0;;;dez-06
CURSINO;255;1981;973;968;0;140;0;0;;;700;200;0;0;0;0;;;dez-06
ERMELINO MATARAZZO;481;3626;1837;1891;268;1295;0;0;;;1578;1149;0;0;0;0;;;dez-06
FREGUESIA DO O;728;5096;3581;2700;243;1163;0;0;;;843;463;0;0;0;0;;;dez-06
GRAJAU;2512;10443;8149;7125;949;3112;0;0;;;4385;1353;0;0;0;0;;;dez-06
GUAIANASES;968;4904;2039;2467;445;1389;0;0;;;1365;937;0;0;0;0;;;dez-06
IGUATEMI;815;5939;6921;5926;531;1664;0;0;;;2274;768;0;0;0;0;;;dez-06
IPIRANGA;771;3054;911;801;133;314;0;0;;;1025;112;0;0;0;0;;;dez-06
ITAIM BIBI;149;834;800;722;0;351;0;0;;;234;92;0;0;0;0;;;dez-06
ITAIM PAULISTA;1338;7613;5945;6401;363;2168;0;0;;;3374;3487;0;0;0;0;;;dez-06
ITAQUERA;855;6106;3283;3670;274;1370;0;0;;;2069;970;0;0;0;0;;;dez-06
JABAQUARA;1040;5911;3392;2822;333;1062;0;0;;;2961;1723;0;0;0;0;;;dez-06
JACANA;599;3345;2453;2076;29;561;0;0;;;1416;789;0;0;0;0;;;dez-06
JAGUARA;325;1254;858;858;142;369;0;0;;;563;151;0;0;0;0;;;dez-06
JAGUARE;236;659;407;393;184;218;0;0;;;548;171;0;0;0;0;;;dez-06
JARAGUA;2077;7512;10269;8655;738;2784;429;0;;;3062;1660;0;0;0;0;;;dez-06
JARDIM ANGELA;1595;9206;8064;6397;555;2289;0;0;;;5404;5549;0;0;0;0;;;dez-06
JARDIM HELENA;949;4605;5729;6061;357;1576;0;0;;;2159;825;0;0;0;0;;;dez-06
JARDIM PAULISTA;24;693;0;0;0;0;0;0;;;42;24;0;0;0;0;;;dez-06
JARDIM SAO LUIS;1972;9694;8043;6546;640;2347;0;0;;;5671;2503;0;0;0;0;;;dez-06
JOSE BONIFACIO;530;4628;2860;2642;46;797;0;0;;;1103;350;0;0;0;0;;;dez-06
LAJEADO;1108;5840;3787;4337;410;1476;0;0;;;2479;2672;0;0;0;0;;;dez-06
LAPA;189;2525;0;0;0;0;0;0;;;386;180;0;0;0;0;;;dez-06
LIBERDADE;433;569;333;279;49;92;0;0;;;507;39;0;0;0;0;;;dez-06
LIMAO;319;1419;771;739;12;312;0;0;;;353;13;0;0;0;0;;;dez-06
MANDAQUI;490;3303;2779;2311;217;440;0;0;;;991;260;0;0;0;0;;;dez-06
MARSILAC;67;54;0;0;0;0;0;0;;;1;4;0;0;0;0;;;dez-06
MOEMA;150;1265;389;212;28;55;0;0;;;178;71;0;0;0;0;;;dez-06
MOOCA;404;1462;324;288;35;161;0;0;;;358;217;0;0;0;0;;;dez-06
MORUMBI;208;885;866;543;18;98;0;0;;;528;117;0;0;0;0;;;dez-06
PARELHEIROS;1062;4480;3489;1566;163;901;0;0;;;1320;766;0;0;0;0;;;dez-06
PARI;84;572;393;354;0;0;0;0;;;271;71;0;0;0;0;;;dez-06
PARQUE DO CARMO;594;2523;1183;1254;48;426;0;0;;;1215;370;0;0;0;0;;;dez-06
PEDREIRA;550;3905;5496;4553;510;1744;0;0;;;1738;1687;0;0;0;0;;;dez-06
PENHA;468;1938;0;0;0;0;0;0;;;995;364;0;0;0;0;;;dez-06
PERDIZES;303;915;337;288;60;135;0;0;;;349;124;0;0;0;0;;;dez-06
PERUS;487;3604;4476;3994;262;1188;0;0;;;1448;687;0;0;0;0;;;dez-06
PINHEIROS;262;769;332;345;0;47;0;0;;;390;15;0;0;0;0;;;dez-06
PIRITUBA;884;4442;4585;4504;538;1429;300;0;;;1669;1451;0;0;0;0;;;dez-06
PONTE RASA;454;2628;3107;3106;26;763;0;0;;;869;425;0;0;0;0;;;dez-06
RAPOSO TAVARES;937;4522;4621;3540;347;970;0;0;;;1869;246;0;0;0;0;;;dez-06
REPUBLICA;9;939;0;0;0;0;0;0;;;4;33;0;0;0;0;;;dez-06
RIO PEQUENO;1247;4074;4250;3146;345;831;0;0;;;2012;432;0;0;0;0;;;dez-06
SACOMA;1406;7259;5658;4845;828;2189;0;0;;;2830;742;0;0;0;0;;;dez-06
SANTA CECILIA;356;1093;0;0;0;0;0;0;;;757;170;0;0;0;0;;;dez-06
SANTANA;299;2066;1648;1763;0;335;1104;665;;;600;125;0;0;0;0;;;dez-06
SANTO AMARO;137;593;1001;1516;0;732;103;0;;;420;117;0;0;0;0;;;dez-06
SAO DOMINGOS;465;2241;3328;2887;188;676;0;0;;;766;330;0;0;0;0;;;dez-06
SAO LUCAS;362;3187;3771;3786;161;720;0;0;;;496;170;0;0;0;0;;;dez-06
SAO MATEUS;1014;6141;4495;3985;698;2314;0;0;;;1638;301;0;0;0;0;;;dez-06
SAO MIGUEL;742;3290;4685;4251;76;1120;199;0;;;1309;930;0;0;0;0;;;dez-06
SAO RAFAEL;1296;7758;5321;3874;452;1792;0;0;;;2752;809;0;0;0;0;;;dez-06
SAPOPEMBA;2108;11381;10825;9719;1161;3626;393;0;;;3322;680;0;0;0;0;;;dez-06
SAUDE;190;1054;254;320;0;217;0;0;;;287;113;0;0;0;0;;;dez-06
SE;54;128;528;392;124;287;0;0;;;172;38;0;0;0;0;;;dez-06
SOCORRO;333;1588;1610;1584;114;428;0;0;;;218;74;0;0;0;0;;;dez-06
TATUAPE;72;1837;1238;1313;61;343;0;0;;;308;115;0;0;0;0;;;dez-06
TREMEMBE;612;5215;4199;3888;359;1081;0;0;;;1806;672;0;0;0;0;;;dez-06
TUCURUVI;294;1204;1499;1428;89;465;0;0;;;404;81;0;0;0;0;;;dez-06
VILA ANDRADE;164;389;2777;1244;401;355;0;0;;;1133;466;0;0;0;0;;;dez-06
VILA CURUCA;1154;6736;6961;6745;190;1568;0;0;;;2305;1895;0;0;0;0;;;dez-06
VILA FORMOSA;257;1928;490;509;0;134;0;0;;;733;282;0;0;0;0;;;dez-06
VILA GUILHERME;236;1756;1326;1080;75;228;0;0;;;474;125;0;0;0;0;;;dez-06
VILA JACUI;1145;5885;4781;4661;323;1578;0;0;;;1913;1297;0;0;0;0;;;dez-06
VILA LEOPOLDINA;215;938;831;766;59;148;0;0;;;243;67;0;0;0;0;;;dez-06
VILA MARIA;912;4918;3923;2913;193;673;0;0;;;1720;360;0;0;0;0;;;dez-06
